City Name,City ID,Country Code,Longitude,Latitude,Temp,Feels Like Temp,Min Temp,Max Temp,Pressure,Humidity,Visibility,Wind Speed,Wind Temp,Sunrise,Sunset,Cloudiness
Rubiataba,3450843,BR,-49.8033,-15.1644,26.49,26.49,26.49,26.49,1014,73,10000,2.97,86,1647681779,1647725460,4
Fershampenuaz,562878,RU,59.8117,53.5202,-10.26,-16.22,-10.26,-10.26,1036,93,10000,3.34,213,1647655590,1647699044,14
Bereda,3105522,ES,-7.5406,43.2686,18.1,17.56,18.1,18.1,1020,61,10000,0.32,117,1647671733,1647715224,75
Quatre Cocos,1106643,MU,57.7625,-20.2078,28.38,32.55,27.06,28.38,1009,77,10000,2.1,262,1647655940,1647699678,65
Arrifes,3373329,PT,-25.7,37.7667,13.14,11.84,13.14,13.46,1022,51,10000,7.2,350,1647676085,1647719586,40
Portobelo,3702577,PA,-79.65,9.55,25.74,26.51,25.4,25.83,1013,82,10000,6.49,35,1647688999,1647732563,34
Nabire,1634614,ID,135.4833,-3.3667,25.03,25.96,25.03,25.03,1009,91,10000,1.41,120,1647637350,1647680970,95
Novikovo,487928,RU,37.8879,51.1537,-2.51,-2.51,-2.51,-2.51,1043,84,10000,1.07,39,1647660844,1647704312,91
Crestview,4152311,US,-86.5705,30.7621,14.32,13.77,13.36,15.6,1021,75,10000,5.14,320,1647690678,1647734205,40
Puerto del Rosario,2512186,ES,-13.8627,28.5004,19.86,19.68,19.86,19.86,1016,68,10000,5.14,60,1647673242,1647716749,20
Balaipungut,1650600,ID,101.2833,1.05,26.52,26.52,26.52,26.52,1007,83,10000,1.03,32,1647645570,1647689163,74
Thunder Bay,6166142,CA,-89.3168,48.4001,-5.57,-10.29,-6.05,0.72,1014,90,10000,3.09,230,1647691329,1647734872,20
Changji,1529569,CN,87.3167,44.0167,2.44,0.39,2.44,2.44,1027,69,10000,2,270,1647648996,1647692439,0
Jumla,1283285,NP,82.1838,29.2747,13.48,12.5,13.48,13.48,1015,62,10000,1.84,173,1647650210,1647693688,92
Smolyaninovo,2016402,RU,132.4675,43.2956,-5.3,-9.66,-5.3,-5.3,1016,68,10000,2.81,360,1647724465,1647768065,100
Chifeng,2038067,CN,118.9636,42.2683,-2.27,-4.34,-2.27,-2.27,1021,35,10000,1.5,191,1647641409,1647684839,17
Lázaro Cárdenas,4026082,MX,-102.2,17.9583,22.46,22.2,22.46,22.46,1013,55,10000,2.64,42,1647694418,1647737965,9
Bukama,217834,CD,25.85,-9.2,28.72,31.31,28.72,28.72,1007,65,10000,0.86,337,1647663641,1647707292,8
Ciudad Bolivar,3645532,VE,-63.5497,8.1222,27.76,29.31,27.76,27.76,1015,62,10000,5.36,71,1647685134,1647728702,100
Qaqortoq,3420846,GL,-46.0333,60.7167,-8.83,-12.14,-8.83,-8.83,1011,78,10000,1.66,319,1647680932,1647724497,74
Tigil',2120612,RU,158.6667,57.8,-7.99,-12.35,-7.99,-7.99,1022,86,10000,2.4,120,1647718140,1647761818,77
Peace River,6100069,CA,-117.286,56.2501,-4.83,-10.7,-4.83,-4.83,1005,93,10000,4.63,330,1647698013,1647741610,100
Mariental,3355595,NA,17.9667,-24.6333,25.99,25.99,25.99,25.99,1014,45,10000,3.44,63,1647665473,1647709243,24
Carinhanha,3466950,BR,-43.765,-14.3047,31.2,30.14,31.2,31.2,1014,32,10000,2.58,92,1647680333,1647724008,11
Neiva,3673899,CO,-75.2819,2.9273,24.94,25.66,24.94,24.94,1013,83,10000,2.06,220,1647687939,1647731526,75
